台股法人籌碼盤後數據彙整報告
資料日期,2026-09-24
更新時間 (台灣),2026-09-24 20:47:02

市場統計指標,本日數據
大盤成交金額 (億元),7755.91
融資餘額增減 (億元),87.36 (目前總額: 6151.03)
融券餘額增減 (張),-11051 (目前總張: 202008)
八大官股買賣超 (億元),82.14 (統計日期: 2026-09-24)

台積電 (2330) 三大法人買賣超 (單位: 張)
外資買賣超,-4667
投信買賣超,-1287
自營商買賣超,242
三大法人合計,-5712

三大法人買賣超金額統計 (單位: 億元)
市場,外資及陸資,投信,自營商,合計
集中市場 (TSE),-329.65,-128.23,13.38,-444.49
櫃買市場 (OTC),-29.88,-34.16,2.13,-61.91
市場合計 (TSE+OTC),-359.53,-162.39,15.51,-506.41

外資及陸資個股買賣超排行 Top 10 (單位: 張)
排名,買超代號,買超名稱,買超張數,賣超代號,賣超名稱,賣超張數
1,00403A,主動統一升級50,64496,2409,友達,79998
2,00981A,主動統一台股增長,36446,6770,力積電,42587
3,1303,南亞,17802,00406A,主動中信台灣收益,35897
4,8150,南茂,14649,2303,聯電,35153
5,00409A,主動復華全球50,13347,0050,元大台灣50,31362
6,00991A,主動復華未來50,9670,2317,鴻海,23872
7,3016,嘉晶,8256,2408,南亞科,19952
8,3231,緯創,7873,1709,和益,19295
9,3189,景碩,6834,2344,華邦電,17824
10,00402A,主動安聯美國科技,6335,2610,華航,14209

投信個股買賣超排行 Top 10 (單位: 張)
排名,買超代號,買超名稱,買超張數,賣超代號,賣超名稱,賣超張數
1,2610,華航,5571,2303,聯電,9471
2,2618,長榮航,4165,1303,南亞,5067
3,2884,玉山金,3052,2408,南亞科,2388
4,8028,昇陽半導體,2309,3711,日月光投控,2167
5,2890,永豐金,2057,2885,元大金,1998
6,2542,興富發,1799,2330,台積電,1287
7,2891,中信金,1768,3231,緯創,954
8,2882,國泰金,1604,3706,神達,927
9,3042,晶技,1179,1504,東元,740
10,00929,復華台灣科技優息,1000,00935,野村臺灣新科技50,597
